transaction_id,date,store_name,store_city,product_name,category,units_sold,unit_price,customer_id
TXN5000,29-08-2023,Chennai Anna,Chennai,Speaker,electronics,3,49262.78,CUST045
TXN5001,12-12-2023,Chennai Anna,Chennai,Tablet,Electronics,11,23226.12,CUST021
TXN5002,05-02-2023,Chennai Anna,Chennai,Phone,Electronics,20,48703.39,CUST019
TXN5003,20-02-2023,Delhi South,Delhi,Tablet,Electronics,14,23226.12,CUST007
TXN5004,15-01-2023,Chennai Anna,Chennai,Smartwatch,electronics,10,58851.01,CUST004
TXN5005,09-08-2023,Bangalore MG,Bangalore,Atta 10kg,Grocery,12,52464,CUST027
TXN5006,31-03-2023,Pune FC Road,Pune,Smartwatch,electronics,6,58851.01,CUST025
TXN5007,26-10-2023,Pune FC Road,Pune,Jeans,Clothing,16,2317.47,CUST041
TXN5008,08-12-2023,Bangalore MG,Bangalore,Biscuits,Groceries,9,27469.99,CUST030
TXN5009,15-08-2023,Bangalore MG,Bangalore,Smartwatch,electronics,3,58851.01,CUST020
TXN5010,04-06-2023,Chennai Anna,Chennai,Jacket,Clothing,15,30187.24,CUST031
TXN5011,20-10-2023,Mumbai Central,Mumbai,Jeans,Clothing,13,2317.47,CUST045
TXN5012,21-05-2023,Bangalore MG,Bangalore,Laptop,Electronics,13,42343.15,CUST044
TXN5013,28-04-2023,Mumbai Central,Mumbai,Milk 1L,Groceries,10,43374.39,CUST015
TXN5014,18-11-2023,Delhi South,Delhi,Jacket,Clothing,5,30187.24,CUST042
TXN5015,18-01-2023,Mumbai Central,Mumbai,Saree,Clothing,15,35451.81,CUST009
TXN5016,01-08-2023,Mumbai Central,Mumbai,Saree,Clothing,11,35451.81,CUST035
TXN5017,12-05-2023,Bangalore MG,Bangalore,Jacket,Clothing,6,30187.24,CUST019
TXN5018,08-02-2023,Bangalore MG,Bangalore,Headphones,Electronics,15,39854.96,CUST015
TXN5019,22-07-2023,Chennai Anna,Chennai,Atta 10kg,Grocery,3,52464,CUST008
TXN5020,27-10-2023,Chennai Anna,Chennai,Atta 10kg,Grocery,9,52464,CUST024
TXN5021,13-01-2023,Mumbai Central,Mumbai,Jeans,Clothing,16,2317.47,CUST036
TXN5022,22-11-2023,Bangalore MG,Bangalore,Jeans,Clothing,3,2317.47,CUST020
TXN5023,24-01-2023,Chennai Anna,Chennai,Headphones,Electronics,5,39854.96,CUST032
TXN5024,03-10-2023,Mumbai Central,Mumbai,Headphones,Electronics,8,39854.96,CUST024
TXN5025,21-03-2023,Pune FC Road,Pune,Pulses 1kg,Grocery,19,31604.47,CUST032
TXN5026,17-01-2023,Pune FC Road,Pune,Pulses 1kg,Grocery,9,31604.47,CUST029
TXN5027,20-02-2023,Chennai Anna,Chennai,Jeans,Clothing,12,2317.47,CUST042
TXN5028,22-05-2023,Bangalore MG,Bangalore,Phone,Electronics,13,48703.39,CUST030
TXN5029,11-01-2023,Mumbai Central,Mumbai,T-Shirt,Clothing,20,29770.19,CUST016
TXN5030,11-10-2023,Delhi South,Delhi,T-Shirt,Clothing,3,29770.19,CUST015
TXN5031,02-01-2023,Bangalore MG,Bangalore,Speaker,electronics,20,49262.78,CUST010
TXN5032,26-02-2023,Delhi South,Delhi,Jacket,Clothing,6,30187.24,CUST009
TXN5033,29-10-2023,Mumbai Central,,Atta 10kg,Grocery,8,52464,CUST017
TXN5034,27-09-2023,Mumbai Central,Mumbai,Speaker,electronics,14,49262.78,CUST031
TXN5035,31-10-2023,Chennai Anna,Chennai,Atta 10kg,Grocery,17,52464,CUST015
TXN5036,04-06-2023,Pune FC Road,Pune,Phone,Electronics,17,48703.39,CUST002
TXN5037,07-08-2023,Mumbai Central,Mumbai,Milk 1L,Groceries,13,43374.39,CUST046
TXN5038,14-06-2023,Chennai Anna,Chennai,Tablet,Electronics,3,23226.12,CUST009
TXN5039,02-11-2023,Bangalore MG,Bangalore,Rice 5kg,Grocery,13,52195.05,CUST033
TXN5040,26-12-2023,Pune FC Road,Pune,Pulses 1kg,Grocery,4,31604.47,CUST042
TXN5041,20-08-2023,Pune FC Road,Pune,T-Shirt,Clothing,14,29770.19,CUST030
TXN5042,10-06-2023,Chennai Anna,Chennai,Pulses 1kg,Grocery,4,31604.47,CUST017
TXN5043,04-02-2023,Bangalore MG,Bangalore,Speaker,electronics,16,49262.78,CUST006
TXN5044,08-03-2023,Chennai Anna,,Headphones,Electronics,12,39854.96,CUST036
TXN5045,30-07-2023,Pune FC Road,Pune,Rice 5kg,Grocery,4,52195.05,CUST049
TXN5046,04-11-2023,Chennai Anna,Chennai,Phone,Electronics,10,48703.39,CUST037
TXN5047,03-12-2023,Pune FC Road,Pune,T-Shirt,Clothing,5,29770.19,CUST007
TXN5048,23-05-2023,Bangalore MG,Bangalore,Atta 10kg,Grocery,4,52464,CUST028
TXN5049,03-12-2023,Pune FC Road,Pune,Laptop,Electronics,20,42343.15,CUST012
TXN5050,29-06-2023,Bangalore MG,Bangalore,Saree,Clothing,11,35451.81,CUST010
TXN5051,14-03-2023,Pune FC Road,Pune,Oil 1L,Grocery,3,26474.34,CUST002
TXN5052,03-08-2023,Mumbai Central,Mumbai,T-Shirt,Clothing,13,29770.19,CUST024
TXN5053,02-11-2023,Bangalore MG,Bangalore,Rice 5kg,Grocery,19,52195.05,CUST010
TXN5054,20-05-2023,Delhi South,Delhi,Phone,Electronics,3,48703.39,CUST032
TXN5055,20-05-2023,Pune FC Road,Pune,Biscuits,Groceries,14,27469.99,CUST008
TXN5056,26-05-2023,Bangalore MG,Bangalore,Pulses 1kg,Grocery,4,31604.47,CUST032
TXN5057,23-04-2023,Pune FC Road,Pune,Saree,Clothing,2,35451.81,CUST004
TXN5058,19-04-2023,Mumbai Central,Mumbai,T-Shirt,Clothing,10,29770.19,CUST019
TXN5059,12-09-2023,Bangalore MG,Bangalore,Headphones,Electronics,1,39854.96,CUST009
TXN5060,14-10-2023,Chennai Anna,Chennai,Jeans,Clothing,17,2317.47,CUST005
TXN5061,10-01-2023,Chennai Anna,Chennai,Phone,Electronics,14,48703.39,CUST021
TXN5062,27-07-2023,Pune FC Road,Pune,Pulses 1kg,Grocery,19,31604.47,CUST019
TXN5063,16-06-2023,Mumbai Central,Mumbai,Oil 1L,Grocery,1,26474.34,CUST040
TXN5064,12-08-2023,Chennai Anna,Chennai,Atta 10kg,Grocery,3,52464,CUST038
TXN5065,08-06-2023,Chennai Anna,Chennai,Tablet,Electronics,13,23226.12,CUST022
TXN5066,21-11-2023,Delhi South,Delhi,Tablet,Electronics,17,23226.12,CUST013
TXN5067,01-05-2023,Bangalore MG,Bangalore,Atta 10kg,Grocery,5,52464,CUST013
TXN5068,01-04-2023,Delhi South,Delhi,Speaker,electronics,3,49262.78,CUST049
TXN5069,26-11-2023,Pune FC Road,Pune,Biscuits,Groceries,19,27469.99,CUST021
TXN5070,04-02-2023,Bangalore MG,Bangalore,Speaker,electronics,15,49262.78,CUST020
TXN5071,17-09-2023,Bangalore MG,Bangalore,Phone,Electronics,12,48703.39,CUST029
TXN5072,27-05-2023,Mumbai Central,Mumbai,Phone,Electronics,12,48703.39,CUST006
TXN5073,25-10-2023,Pune FC Road,Pune,Oil 1L,Grocery,15,26474.34,CUST048
TXN5074,30-11-2023,Mumbai Central,Mumbai,Biscuits,Groceries,19,27469.99,CUST031
TXN5075,19-08-2023,Pune FC Road,Pune,Speaker,electronics,2,49262.78,CUST022
TXN5076,07-05-2023,Mumbai Central,Mumbai,Smartwatch,electronics,2,58851.01,CUST029
TXN5077,10-07-2023,Pune FC Road,Pune,Smartwatch,electronics,12,58851.01,CUST050
TXN5078,03-02-2023,Bangalore MG,Bangalore,Phone,Electronics,11,48703.39,CUST044
TXN5079,03-12-2023,Chennai Anna,Chennai,Saree,Clothing,9,35451.81,CUST022
TXN5080,08-06-2023,Mumbai Central,Mumbai,Speaker,electronics,12,49262.78,CUST026
TXN5081,14-10-2023,Delhi South,Delhi,Tablet,Electronics,10,23226.12,CUST022
TXN5082,18-09-2023,Delhi South,,Tablet,Electronics,14,23226.12,CUST020
TXN5083,06-09-2023,Delhi South,Delhi,T-Shirt,Clothing,11,29770.19,CUST009
TXN5084,21-02-2023,Delhi South,Delhi,Tablet,Electronics,10,23226.12,CUST048
TXN5085,13-11-2023,Pune FC Road,Pune,Phone,Electronics,11,48703.39,CUST010
TXN5086,26-03-2023,Delhi South,Delhi,Smartwatch,electronics,20,58851.01,CUST027
TXN5087,09-11-2023,Bangalore MG,Bangalore,Jeans,Clothing,15,2317.47,CUST029
TXN5088,29-08-2023,Delhi South,Delhi,Jeans,Clothing,10,2317.47,CUST037
TXN5089,15-07-2023,Chennai Anna,Chennai,Biscuits,Groceries,10,27469.99,CUST011
TXN5090,27-01-2023,Delhi South,Delhi,Speaker,electronics,9,49262.78,CUST024
TXN5091,05-03-2023,Pune FC Road,Pune,Headphones,Electronics,17,39854.96,CUST011
TXN5092,17-03-2023,Bangalore MG,Bangalore,Biscuits,Groceries,17,27469.99,CUST015
TXN5093,01-08-2023,Chennai Anna,Chennai,Atta 10kg,Grocery,1,52464,CUST024
TXN5094,11-07-2023,Delhi South,,Oil 1L,Grocery,3,26474.34,CUST007
TXN5095,20-01-2023,Bangalore MG,Bangalore,Speaker,electronics,5,49262.78,CUST031
TXN5096,12-11-2023,Delhi South,Delhi,Milk 1L,Groceries,15,43374.39,CUST002
TXN5097,08-10-2023,Bangalore MG,Bangalore,T-Shirt,Clothing,5,29770.19,CUST028
TXN5098,04-06-2023,Mumbai Central,,Saree,Clothing,8,35451.81,CUST027
TXN5099,26-02-2023,Pune FC Road,Pune,Biscuits,Groceries,3,27469.99,CUST002
TXN5100,30-05-2023,Pune FC Road,,Jeans,Clothing,5,2317.47,CUST023
TXN5101,07-12-2023,Delhi South,Delhi,Pulses 1kg,Grocery,6,31604.47,CUST024
